year,model,body_style,price,mileage,city
2020,Tiguan,SUV,19498.0,44320.0,Liverpool
2020,Tiguan,SUV,19995.0,41081.0,Auburn
2020,Outback,SUV,20996.0,67416.0,Chittenango
2020,Equinox,SUV,20997.0,59781.0,Liverpool
2020,CR-V,SUV,20999.0,91372.0,Watertown
2020,Outback,SUV,22899.0,63944.0,Watertown
2020,RAV4,SUV,24770.0,59941.0,Liverpool
2020,Explorer,SUV,24990.0,58667.0,Liverpool
2019,Encore,SUV,12995.0,84095.0,North Syracuse
2019,Trax,SUV,12997.0,85176.0,Chittenango
2019,Outlander Sport,SUV,14888.0,46493.0,Watertown
2019,Cherokee,SUV,14995.0,97544.0,North Syracuse
2019,Equinox,SUV,15111.0,98831.0,Watertown
2019,Cherokee,SUV,15618.0,91678.0,Watertown
2019,Cherokee,SUV,15685.0,92390.0,Oswego
2019,Pathfinder,SUV,15995.0,83847.0,North Syracuse
2019,Terrain,SUV,16695.0,97804.0,Auburn
2019,Equinox,SUV,16994.0,75218.0,Liverpool
2019,Cherokee,SUV,16995.0,96195.0,North Syracuse
2019,Equinox,SUV,16999.0,60589.0,Chittenango
2019,Equinox,SUV,17585.0,84396.0,Oswego
2019,Civic,Hatchback,17995.0,98351.0,Auburn
2019,Cherokee,SUV,17999.0,55789.0,Oswego
2019,QX60,SUV,18486.0,85356.0,Syracuse
2019,QX60,SUV,18799.0,72196.0,Watertown
2019,Equinox,SUV,19880.0,48833.0,Liverpool
2019,Equinox,SUV,19994.0,24320.0,Liverpool
2019,Forester,SUV,19995.0,80307.0,Auburn
2019,Cherokee,SUV,19995.0,62076.0,Auburn
2019,MKC,SUV,20399.0,59638.0,Watertown
2019,Forester,SUV,20495.0,69655.0,Auburn
2019,Cherokee,SUV,20995.0,39674.0,Auburn
2019,Grand Cherokee,SUV,21999.0,87643.0,Watertown
2019,Grand Cherokee,SUV,22116.0,51725.0,Watertown
2019,Nautilus,SUV,22405.0,60935.0,Watertown
2019,Passport,SUV,22521.0,55293.0,Watertown
2019,Atlas,SUV,23539.0,67987.0,Watertown
2019,XC40,SUV,23995.0,46083.0,Auburn
2019,Pilot,SUV,23999.0,95734.0,Watertown
2019,Envision,SUV,24796.0,15642.0,Chittenango
2018,EcoSport,SUV,9995.0,94242.0,North Syracuse
2018,EcoSport,SUV,12995.0,67250.0,North Syracuse
2018,Tucson,SUV,13499.0,73396.0,Chittenango
2018,Rogue Sport,SUV,13594.0,94430.0,Liverpool
2018,Escape,SUV,13995.0,60871.0,North Syracuse
2018,Sportage,SUV,13995.0,83567.0,North Syracuse
2018,Escape,SUV,13999.0,75000.0,Pulaski
2018,Impreza,Hatchback,14995.0,83874.0,North Syracuse
2018,Compass,SUV,14995.0,94738.0,North Syracuse
2018,Rogue Sport,SUV,15894.0,92590.0,Liverpool
2018,Compass,SUV,15995.0,89175.0,North Syracuse
2018,Edge,SUV,15999.0,87057.0,Watertown
2018,Equinox,SUV,16399.0,61022.0,Watertown
2018,Cherokee,SUV,16990.0,64742.0,Liverpool
2018,MKC,SUV,16995.0,71427.0,North Syracuse
2018,Equinox,SUV,17449.0,78180.0,Liverpool
2018,Traverse,SUV,17799.0,91074.0,Watertown
2018,Prius Prime,Hatchback,18995.0,36194.0,Auburn
2018,RAV4,SUV,19499.0,82244.0,Watertown
2018,CR-V,SUV,19995.0,62056.0,Auburn
2018,Traverse,SUV,20699.0,46714.0,Watertown
2018,Prius,Hatchback,20999.0,55809.0,Watertown
2017,Elantra,Hatchback,9995.0,93798.0,North Syracuse
2017,Sorento,SUV,10995.0,94002.0,North Syracuse
2017,Cooper Hardtop,Hatchback,10995.0,88900.0,Auburn
2017,Outlander,SUV,12084.0,72820.0,Watertown
2017,CX-5,SUV,16995.0,92452.0,North Syracuse
2017,Grand Cherokee,SUV,17539.0,87209.0,Watertown
2017,Explorer,SUV,19392.0,57170.0,Adams
2024,Kona,SUV,23888.0,10493.0,Watertown
2023,Mirage,Hatchback,15333.0,20962.0,Watertown
2022,Compass,SUV,22475.0,39640.0,Watertown
2022,Compass,SUV,23375.0,22153.0,Watertown
2022,Compass,SUV,23375.0,25399.0,Watertown
2022,Compass,SUV,24775.0,8407.0,Watertown
2022,Compass,SUV,24775.0,25124.0,Watertown
2021,Blazer,SUV,25000.0,33766.0,Watertown
2020,Escape,SUV,18875.0,45936.0,Watertown
2020,Edge,SUV,23777.0,20653.0,Watertown
2019,Escape,SUV,17888.0,41988.0,Watertown
2018,Santa Fe Sport,SUV,15000.0,80931.0,Watertown
2018,Tucson,SUV,16555.0,61962.0,Watertown
2018,Kona,SUV,16777.0,43566.0,Watertown
2018,RAV4,SUV,23888.0,72222.0,Watertown
2017,Envision,SUV,16777.0,77318.0,Watertown
2017,Santa Fe Sport,SUV,16999.0,49334.0,Watertown
2017,RAV4,SUV,20000.0,68840.0,Watertown
2024,Trax,SUV,21755.0,29935.0,Liverpool
2024,Trax,SUV,22067.0,14038.0,Cicero
2024,Trax,SUV,22699.0,6438.0,Cicero
2024,Eclipse Cross,SUV,22931.0,10403.0,Central Square
2024,Trax,SUV,22977.0,5246.0,Carthage
