barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,eng_dscr,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,make,model,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,VClass,year,youSaveSpend,baseModel,guzzler,trans_dscr,tCharger,sCharger,atvType,fuelType2,rangeA,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr,createdOn,modifiedOn,startStop,phevCity,phevHwy,phevComb
11.9004,0.0,0.0,0.0,23,22.8577,0,0.0,0.0,0.0,0.0,353,-1,0.0,353.0,25,25.0366,0,0.0,0.0,0.0,0.0,4.0,2.4,4-Wheel Drive,226,,5,1900,0,Regular,Regular Gasoline,5,-1,28,28.3381,0,0.0,0.0,0.0,0.0,0,0,39690,0,0,Mitsubishi,Outlander Sport 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S6),29.2527,0.0,40.3306,0.0,Small Sport Utility Vehicle 4WD,2018,-1000,Outlander,,,,,,,,,MTX,,0.0,,Fri Nov 03 00:00:00 EDT 2017,Wed Dec 20 00:00:00 EST 2017,N,0,0,0
11.44269231,0.0,0.0,0.0,24,23.8393,0,0.0,0.0,0.0,0.0,335,-1,0.0,335.0,26,26.2061,0,0.0,0.0,0.0,0.0,4.0,2.5,4-Wheel Drive,16,SIDI,5,1800,0,Regular,Regular Gasoline,5,-1,30,29.8253,0,0.0,0.0,0.0,0.0,0,0,39781,0,0,Mazda,CX-5 4WD,Y,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (S6),30.6446,0.0,42.6699,0.0,Small Sport Utility Vehicle 4WD,2018,-500,CX-5,,,,,,,,,TKX,,0.0,,Tue Dec 05 00:00:00 EST 2017,Wed Apr 18 00:00:00 EDT 2018,N,0,0,0
12.93521739,0.0,0.0,0.0,20,20.3845,0,0.0,0.0,0.0,0.0,387,-1,0.0,387.0,23,23.0251,0,0.0,0.0,0.0,0.0,4.0,2.0,4-Wheel Drive,514,SIDI,5,2050,0,Regular,Regular Gasoline,5,-1,27,27.3563,0,0.0,0.0,0.0,0.0,0,0,39897,0,0,Jeep,Cherokee 4WD Active Drive II,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 9-spd,25.7996,0.0,38.7997,0.0,Small Sport Utility Vehicle 4WD,2019,-1750,Cherokee,,,T,,,,,,CRX,,0.0,,Mon Feb 19 00:00:00 EST 2018,Tue Feb 26 00:00:00 EST 2019,Y,0,0,0
11.9004,0.0,0.0,0.0,25,24.5536,0,0.0,0.0,0.0,0.0,347,-1,0.0,347.0,25,25.3444,0,0.0,0.0,0.0,0.0,4.0,1.5,4-Wheel Drive,231,SIDI,5,1900,0,Regular,Regular Gasoline,5,-1,26,26.383,0,0.0,0.0,0.0,0.0,0,0,39923,0,0,Mitsubishi,Eclipse Cross 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S8),31.6654,0.0,39.8092,0.0,Small Sport Utility Vehicle 4WD,2018,-1000,Eclipse Cross,,,T,,,,,,MTX,,0.0,,Fri Mar 02 00:00:00 EST 2018,Mon Dec 03 00:00:00 EST 2018,N,0,0,0
11.44269231,0.0,0.0,0.0,25,25.0375,0,0.0,0.0,0.0,0.0,337,-1,0.0,337.0,26,26.1535,0,0.0,0.0,0.0,0.0,4.0,1.5,4-Wheel Drive,233,SIDI,5,1800,0,Regular,Regular Gasoline,5,-1,28,27.6604,0,0.0,0.0,0.0,0.0,0,0,39924,0,0,Mitsubishi,Eclipse Cross ES 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S8),32.3606,0.0,40.9189,0.0,Small Sport Utility Vehicle 4WD,2018,-500,Eclipse Cross,,,T,,,,,,MTX,,0.0,,Fri Mar 02 00:00:00 EST 2018,Mon Dec 03 00:00:00 EST 2018,N,0,0,0
11.9004,0.0,0.0,0.0,25,24.5536,0,0.0,0.0,0.0,0.0,347,-1,0.0,347.0,25,25.3444,0,0.0,0.0,0.0,0.0,4.0,1.5,4-Wheel Drive,231,SIDI,5,1900,0,Regular,Regular Gasoline,5,-1,26,26.383,0,0.0,0.0,0.0,0.0,0,0,40359,0,0,Mitsubishi,Eclipse Cross 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S8),31.6654,0.0,39.8092,0.0,Small Sport Utility Vehicle 4WD,2019,-1000,Eclipse Cross,,,T,,,,,,MTX,,0.0,,Tue Jul 03 00:00:00 EDT 2018,Mon Aug 26 00:00:00 EDT 2019,N,0,0,0
11.44269231,0.0,0.0,0.0,25,25.0375,0,0.0,0.0,0.0,0.0,337,-1,0.0,337.0,26,26.1535,0,0.0,0.0,0.0,0.0,4.0,1.5,4-Wheel Drive,233,SIDI,5,1800,0,Regular,Regular Gasoline,5,-1,28,27.6604,0,0.0,0.0,0.0,0.0,0,0,40360,0,0,Mitsubishi,Eclipse Cross ES 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S8),32.3606,0.0,40.9189,0.0,Small Sport Utility Vehicle 4WD,2019,-500,Eclipse Cross,,,T,,,,,,MTX,,0.0,,Tue Jul 03 00:00:00 EDT 2018,Mon Aug 26 00:00:00 EDT 2019,N,0,0,0
11.44269231,0.0,0.0,0.0,24,23.8555,0,0.0,0.0,0.0,0.0,341,-1,0.0,341.0,26,25.9027,0,0.0,0.0,0.0,0.0,4.0,2.4,4-Wheel Drive,212,,5,1800,0,Regular,Regular Gasoline,5,-1,29,28.938,0,0.0,0.0,0.0,0.0,0,0,40516,0,0,Mitsubishi,Outlander 4WD,Y,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S6),30.6677,0.0,41.2713,0.0,Small Sport Utility Vehicle 4WD,2019,-500,Outlander,,,,,,,,,MTX,,0.0,,Fri Aug 03 00:00:00 EDT 2018,Mon Aug 26 00:00:00 EDT 2019,N,0,0,0
12.93521739,0.0,0.0,0.0,20,20.3222,0,0.0,0.0,0.0,0.0,391,-1,0.0,391.0,23,22.5986,0,0.0,0.0,0.0,0.0,4.0,2.5,4-Wheel Drive,902,SIDI,5,2050,0,Regular,Regular Gasoline,5,-1,26,26.1835,0,0.0,0.0,0.0,0.0,0,0,40752,0,0,Mazda,CX-9 4WD,Y,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (S6),25.7135,0.0,36.9846,0.0,Small Sport Utility Vehicle 4WD,2019,-1750,CX-9,,,T,,,,,,TKX,,0.0,,Tue Sep 11 00:00:00 EDT 2018,Wed Jan 23 00:00:00 EST 2019,N,0,0,0
11.44269231,0.0,0.0,0.0,23,23.4239,0,0.0,0.0,0.0,0.0,344,-1,0.0,344.0,26,25.5957,0,0.0,0.0,0.0,0.0,4.0,2.0,4-Wheel Drive,224,,5,1800,0,Regular,Regular Gasoline,5,-1,29,28.867,0,0.0,0.0,0.0,0.0,0,0,40753,0,0,Mitsubishi,Outlander Sport 4WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic (AV-S6),30.0541,0.0,41.1598,0.0,Small Sport Utility Vehicle 4WD,2019,-500,Outlander,,,,,,,,,MTX,,0.0,,Tue Sep 11 00:00:00 EDT 2018,Mon Aug 26 00:00:00 EDT 2019,N,0,0,0
