BODY_STYLE,VEHICLE_TYPE,DRIVE_TRAIN,NUM_OF_SEATING,OVERALL_STARS,ROLLOVER_POSSIBILITY,ROLLOVER_STARS,car_key,comb08,cylinders,fuelType,make,model,trany,VClass,year,youSaveSpend,baseModel,guzzler
SUV,MPV,AWD,5,5.0,0.162,4.0,2017 HYUNDAI TUCSON,27.0,4.0,Regular,Hyundai,Tucson FWD,Automatic (AM7),Small Sport Utility Vehicle 2WD,2017.0,-250.0,Tucson,
SUV,MPV,AWD,5,5.0,0.162,4.0,2017 HYUNDAI TUCSON,28.0,4.0,Regular,Hyundai,Tucson Eco FWD,Automatic (AM7),Small Sport Utility Vehicle 2WD,2017.0,0.0,Tucson,
SUV,MPV,AWD,5,5.0,0.162,4.0,2017 HYUNDAI TUCSON,23.0,4.0,Regular,Hyundai,Tucson AWD,Automatic (S6),Small Sport Utility Vehicle 4WD,2017.0,-1750.0,Tucson,
SUV,MPV,AWD,5,5.0,0.162,4.0,2017 HYUNDAI TUCSON,25.0,4.0,Regular,Hyundai,Tucson AWD,Automatic (AM7),Small Sport Utility Vehicle 4WD,2017.0,-1000.0,Tucson,
SUV,MPV,AWD,5,5.0,0.162,4.0,2017 HYUNDAI TUCSON,27.0,4.0,Regular,Hyundai,Tucson Eco AWD,Automatic (AM7),Small Sport Utility Vehicle 4WD,2017.0,-250.0,Tucson,
SUV,MPV,AWD,7,5.0,0.179,4.0,2017 INFINITI QX60,26.0,4.0,Regular,Infiniti,QX60 Hybrid FWD,Automatic (AV-S7),Standard Sport Utility Vehicle 2WD,2017.0,-500.0,QX60,
SUV,MPV,AWD,7,5.0,0.179,4.0,2017 INFINITI QX60,26.0,4.0,Regular,Infiniti,QX60 Hybrid AWD,Automatic (AV-S7),Standard Sport Utility Vehicle 4WD,2017.0,-500.0,QX60,
SUV,MPV,4WD,5,4.0,0.169,4.0,2017 JEEP CHEROKEE,25.0,4.0,Regular,Jeep,Cherokee FWD,Automatic 9-spd,Small Sport Utility Vehicle 2WD,2017.0,-1000.0,Cherokee,
SUV,MPV,4WD,5,4.0,0.169,4.0,2017 JEEP CHEROKEE,23.0,4.0,Regular,Jeep,Cherokee 4WD,Automatic 9-spd,Small Sport Utility Vehicle 4WD,2017.0,-1750.0,Cherokee,
SUV,MPV,4WD,5,4.0,0.169,4.0,2017 JEEP CHEROKEE,23.0,4.0,Regular,Jeep,Cherokee 4WD Active Drive II,Automatic 9-spd,Small Sport Utility Vehicle 4WD,2017.0,-1750.0,Cherokee,
SUV,MPV,4WD,5,4.0,0.164,4.0,2017 JEEP COMPASS,23.0,4.0,Regular,Jeep,Compass FWD,Automatic 6-spd,Small Sport Utility Vehicle 2WD,2017.0,-1750.0,Compass,
SUV,MPV,4WD,5,4.0,0.164,4.0,2017 JEEP COMPASS,24.0,4.0,Regular,Jeep,Compass 4WD,Manual 5-spd,Small Sport Utility Vehicle 4WD,2017.0,-1500.0,Compass,
SUV,MPV,4WD,5,4.0,0.164,4.0,2017 JEEP COMPASS,24.0,4.0,Regular,Jeep,Compass FWD,Automatic (variable gear ratios),Small Sport Utility Vehicle 2WD,2017.0,-1500.0,Compass,
SUV,MPV,4WD,5,4.0,0.164,4.0,2017 JEEP COMPASS,25.0,4.0,Regular,Jeep,Compass FWD,Manual 5-spd,Small Sport Utility Vehicle 2WD,2017.0,-1000.0,Compass,
SUV,MPV,4WD,5,4.0,0.164,4.0,2017 JEEP COMPASS,25.0,4.0,Regular,Jeep,Compass FWD,Manual 5-spd,Small Sport Utility Vehicle 2WD,2017.0,-1000.0,Compass,
SUV,MPV,4WD,5,4.0,0.164,4.0,2017 JEEP COMPASS,25.0,4.0,Regular,Jeep,New Compass 4WD,Automatic 9-spd,Small Sport Utility Vehicle 4WD,2017.0,-1000.0,Compass,
SUV,MPV,4WD,5,4.0,0.164,4.0,2017 JEEP COMPASS,25.0,4.0,Regular,Jeep,New Compass 2WD,Automatic 6-spd,Small Sport Utility Vehicle 2WD,2017.0,-1000.0,Compass,
SUV,MPV,4WD,5,4.0,0.164,4.0,2017 JEEP COMPASS,26.0,4.0,Regular,Jeep,New Compass 2WD,Manual 6-spd,Small Sport Utility Vehicle 2WD,2017.0,-500.0,Compass,
SUV,MPV,4WD,5,4.0,0.164,4.0,2017 JEEP COMPASS,25.0,4.0,Regular,Jeep,New Compass 4WD,Manual 6-spd,Small Sport Utility Vehicle 4WD,2017.0,-1000.0,Compass,
SUV,MPV,4WD,5,4.0,0.219,3.0,2017 JEEP PATRIOT,23.0,4.0,Regular,Jeep,Patriot FWD,Automatic 6-spd,Small Sport Utility Vehicle 2WD,2017.0,-1750.0,Patriot,
SUV,MPV,4WD,5,4.0,0.219,3.0,2017 JEEP PATRIOT,24.0,4.0,Regular,Jeep,Patriot 4WD,Manual 5-spd,Small Sport Utility Vehicle 4WD,2017.0,-1500.0,Patriot,
SUV,MPV,4WD,5,4.0,0.219,3.0,2017 JEEP PATRIOT,24.0,4.0,Regular,Jeep,Patriot FWD,Automatic (variable gear ratios),Small Sport Utility Vehicle 2WD,2017.0,-1500.0,Patriot,
SUV,MPV,4WD,5,4.0,0.219,3.0,2017 JEEP PATRIOT,25.0,4.0,Regular,Jeep,Patriot FWD,Manual 5-spd,Small Sport Utility Vehicle 2WD,2017.0,-1000.0,Patriot,
SUV,MPV,4WD,5,4.0,0.219,3.0,2017 JEEP PATRIOT,25.0,4.0,Regular,Jeep,Patriot FWD,Manual 5-spd,Small Sport Utility Vehicle 2WD,2017.0,-1000.0,Patriot,
SUV,MPV,4WD,5,4.0,0.23,3.0,2017 JEEP RENEGADE,24.0,4.0,Regular,Jeep,Renegade 4WD,Automatic 9-spd,Small Sport Utility Vehicle 4WD,2017.0,-1500.0,Renegade,
